Продукт;Раз в неделю;Ем;Описание
Верблюжатина;-;НЕТ;В мясе верблюда содержится значительное количество витаминов - А, С, Е, РР и витаминов группы В, а также в нем присутствуют некоторые минералы - калий, железо и фосфор. Также в нем отсутствуют жировые прослойки
Говядина;1;ДА;Говядина-красное мясо.Оно плохо влияет на метаболизм,но,поскольку говядина содержит сравнительно небольшое количество жиров  и достаточно белков,мы можем кушать говядину один раз в неделю,она содержит большое количество витаминов группы B и С,а так же натрий,фосфор,калий,кальций,железо, цинк).
Говяжий язык;1;ДА;Говяжий язык содежит примерно поровну жиров и белков ,но при этом обладает невысокой калорийности и вляется великолепным источником витамина В12,РР,а так же таких микроэлементов,как цинк,железо,фосфор и хром.
Говяжьи почки;1;НЕТ;Говяжьи почки содержат витамины группы В, витамин РР, а также большое количество цинка и железа. Кроме того, почки возглавляют список продуктов, содержащих селен (240 мкг селена на 100 граммов почек). Однако, они не рекомендованы людям с глаукомой, подагрой, атеросклерозом, гипертонией
Говяжья печень;1;НЕТ;Лучше не злоупотреблять сожердит кератин, холестерин. Говяжья печень содержит достаточно много белка и совсем незначительно количество жиров и углеводов,а калорийность говяжьей печени в два раза меньше калорийности самой говядины. Печень содержит большое количество легко усвояемого железа,фосфора и практически весь набор витаминов.
Дикобраза мясо;1;НЕТ;Питательное и нежное. Легко усваивается
Индейка;-;ДА;Индейка является одним из самых распостраненных видов диетического мяса.Она содержит большое количество легко усвояемых белков. Индейка богата калием,фосфором и натрием,содежит большое количество витамина РР.Так же индейка является абсолютно гипоалергенным мясом и из-за своей хорошей усвояемости прекрасно подходит кормящим мамочкам.
Кенгурятина (стэйк);-;НЕТ;Мясо кенгуру имеет выраженный привкус дичи, характеризуется высоким содержанием белка , низким содержанием жира и высоким содержанием полиненасыщенных жирных кислот, что дает основание признать его продуктом, предназначенным для сбалансированного питания.
Кабан;-;ДА;Из-за низкой калорийности и небольшого содержания холестерина мясо кабана справедливо относят к диетическим продуктам. Кабанье мясо содержит антиоксиданты, регулирующие уровень сахара в крови. Из-за высокого содержания фосфора кабанятина – полезный продукт, позволяющий решать проблемы суставов и костей. Кабанье мясо полезно для кожи и слизистых оболочек, нервной и пищеварительных систем.
Косуля;-;НЕТ;Диетическое мясо. Богатое витаминами и микроэлементами.
Кролик;-;ДА;Крольчатина-очень полезный вид мяса.Мясо кролика содержит порядка 22г белка при незначительном содержании жира и холестерина.Белки из крольчатины усваиваются на 90%. Крольчатина незаменима в плане содержания витаминов В6,В12 и РР,а так же железа,фосфора и кобальта. однако в мясе кролика присутствуют пуриновые основания, которые в итоге плохо вредят суставас и сухожилиям (просто не переедайте)
Кура;-;ДА;Мясо кур содержит полноценные и хорошо усвояемые белки, которые имеют оптимальный набор незаменимых аминокислот. Коичество жира довольно велико, онако он легко усваивается организмом, так как содержит определенное количество ненасыщенных жирных кислот. Куриное мясо содержит необходимый набор минеральных веществ и витаминов
Куриная грудка;-;ДА;Куриная грудка-полезное белое мясо,содержащее большое количество белка и незначительное количество жиров и углеводов. В ней содержится много витамина РР,калия,натрия и фосфора.
Куриные желудочки;-;НЕТ;Куриные желудки содержат полноценный животный белок, они богаты калием, фосфором, цинком и железом, в них много фолиевой кислоты, витамина Е и группы В, а также полиненасыщенных жирных кислот. Диетологи не рекомендуют заменять куриными желудками все мясо в своем рационе и советуют подавать их к столу несколько раз в неделю
Лось мясо;-;НЕТ;Мясо лося отличается низким содержанием жира и холестерина. Оно считается экологическим чистым, так как лоси живут в чистых лесах и их мясо не обрабатывают гормонами роста и химическими веществами. Мясо лосей является хорошим источником железа, фосфора и цинка.
Лягушатина;-;НЕТ;В лягушачьих лапках присутствует большое количество витаминов группы С, D и E, а также таких полезных веществ, как кальций, железо, магний и фосфор.
Оленина;1;ДА;В мясе оленя практически отсутствуют вредные жиры и холестерин. Богато витамином В1, микро и макро элементами. Процент белка выше, чем в говядине, однако ненасыщенных жиров меньше.
Перепела мясо;-;ДА;Питательные, вкусовые и диетические качества перепела превосходят не только курятину, но и крольчатину. Из-за этого оно используется для приготовления питания для пациентов с сердечно-сосудистыми патологиями, опорно-двигательного аппарата, болезнями почек, печени, легких и желудочно-кишечного тракта. Перепелиное мясо является сбалансированным по жировому и аминокислотному составу продуктом.
Печень баранья;-;НЕТ;В ней содержатся витамины А и С. За счет высокого содержания витамина А этот продукт нередко используется в медицинских целях. Так, особое вещество в составе бараньей печени – гепарин способствует нормализации свертываемости крови, что важно для профилактики инфаркта миокарда.
Печень куриная;1;НЕТ;Куриная печень – кладезь витамина В9, или фолиевой кислоты, которая имеет огромное значение при развитии иммунной и кроветворной системы, в том числе при внутриутробном развитии. Куриная печень очень полезна беременным. Кроме того, в ней очень много витамина А. Уникальность печени в том, что она содержит много железа. Советуем не ставить ее в ежедневный рацион из за повышенного содержания в ней холестирина.
Печень телячья;-;НЕТ;В телячьей печени больше всего сконцентрировано железа – 8 миллиграмм
Свиная печень;2;НЕТ;В отличие от свинины,свиная печень является низкокалорийной,содежит очень мало жиров и углеводов при достаточно высоком содержании белка. Свиная печень является прекрасным источником витамина С,РР,А и В3,а так же содержит в больших количествах фосфор,калий,магний и натрий.
Сердце говяжье;2;НЕТ;В говяжьем сердце содержатся различные витамины (Е, А. К, РР) и микроэлементы. К примеру, в сердце в 6 раз больше витаминов группы В, чем в говядине, а железа - больше в полтора раза. Кроме того, в нем содержится немало магния, который улучшает деятельность сердечной мышцы. Почему диетологи рекомендуют чаще включать говяжье сердце в меню пожилых людей, а также тех, кто испытывает большие физические нагрузки. В говяжьем сердце содержатся также калий, фосфор, цинк, натрий, кальций.
Сердце куриное;-;НЕТ;В них содержатся витамины РР, А и группы В, также в сердечках много микро- и макроэлементов (это к примеру, фосфор, калий, магний, железо, цинк, медь). Так что, куриные сердечки являются питательным белковым продуктом и рекомендуется чаще употреблять его в пищу тем людям, у которых есть нарушения сердечно-сосудистой системы, анемия, нарушения деятельности нервной системы, людям, перенесшим операции, травмы, после перенесенных тяжелых заболеваний, то есть нуждающимся в усиленном питании.
Сердце индейки;2;НЕТ;Сердце индейки богато белками, минералами, витаминами А и С, а также витаминами группы В, особенно много - В1, В2, В5, В6, В12. Особую ценность этот субпродукт имеет также из-за высокого содержания в нем железа, селена, цинка и фосфора. Диетологи рекомендуют включать блюда из сердец индейки в рацион людей, страдающих анемией, а также испытывающих большие физические нагрузки и нервное напряжение. Единственным минусом этого продукта можно считать достаточно высокое содержание холестерина, именно поэтому не реуомендуются к ежедневному употреблению.
Сердце свиное;-;НЕТ;Питательная ценность этого субпродукта заключается в сбалансированном составе определенных витаминов, микро- и макроэлементов. В нем достаточно много витаминов группы В, а также РР, С, Е. В свином сердце содержится большое количество фосфора, калия, йода и железа. Не случайно медики советуют употреблять блюда из свиного сердца людям с низким уровнем гемоглобина и страдающим от малокровия. Кроме того, витамины, входящие в его состав, полезны при заболеваниях почек и расстройствах нервной системы.
Телятина;-;ДА;Телятина является одним из полезнеших видов мяса за обилие легко усвояемых белков и разнообразный набор витаминов (А,С,Е,В6,В12,РР) и микроэлементов (кобальт,фосфор,магний,калий,цинк,медь,железо). Телятина-один из самых низкокалорийных видов мяса.
Утиная грудка без кожи;1;ДА;Утиная грудка - это самая полезная и низкокалорийная часть утки, хотя, по сравнению с курицей, она все же в несколько раз жирнее. Мясо утиной грудки является чрезвычайно питательным, а также полезным продуктом, так как богато витаминами группы B и важными микроэлементами.
Цесарка;-;НЕТ;"Филе красное, при приготовлении белеет, по вкусу похожа на дичь. По белковому составу мясо цесарок намного более насыщенно, чем у других одомашненных птиц"
Язык телячий;1;ДА;Телячий язык является  полезным субпродуктом, поскольку в нем содержится необходимое количество белка и железа. Однако содержит большое количество животных жиров.
Яйцо куриное;2;ДА;Куриное яйцо на 97% усваивается организмом. Яйцо содержит 12 витаминов. Оно хороший источник активного витамина A, и только рыбьему жиру уступает по содержанию витамина D. В яйце много витаминов B1, B2, E, а также очень важного витамина — холина, которого нигде нет столько, сколько в желтке. Яйца содержат 96% минералов, особенно высоко содержание кальция, а также фосфора, йода, меди, железа, кобальта. Однако в желтке содержится достаточно много холестерина и жиров, поэтому его потребление лучше ограничить 2 желтками через день.
Яйцо перепелиное;-;ДА;Яйца перепелов содержат больше биологически активных веществ, чем яйца других видов сельскохозяйственной птицы. Также в перепелиных яйцах большое содержание витамина А, фосфора, никотиновой кислоты, меди, кобальта, и  аминокислот. Они не вызывают диатеза и других аллергических реакций.
Як мясо;-;НЕТ;Отличительной особенностью мяса яка является пониженная по сравнению с говядиной  жирность, что соответствует тенденциям здорового питания.
